model_scenario,aem_scenario,model,accuracy,num
All,ZOOP,GLM,0.9888326644564649,0
All,ZOOP,SELMAPROTBAS,0.41030469017459775,0
All,ZOOP,WET,0.8520801232665639,0
All,CHLA,GLM,0.9431163845751178,0
All,CHLA,SELMAPROTBAS,0.3921602191030469,0
All,CHLA,WET,0.8294812532100667,0
All,NO3,GLM,0.670389111847845,0
All,NO3,SELMAPROTBAS,0.9243409791167408,0
All,NO3,WET,0.5208012326656395,0
All,PO4,GLM,0.8476705636014658,0
All,PO4,SELMAPROTBAS,0.875042793563848,0
All,PO4,WET,0.7544940934771444,0
All,O2,GLM,0.9589949398010819,0
All,O2,SELMAPROTBAS,0.2155083875385142,0
All,O2,WET,0.8032871083718541,0
All,NH4,GLM,0.9675449310766009,0
All,NH4,SELMAPROTBAS,0.9315302978432044,0
All,NH4,WET,0.9193631227529533,0
All,RSI,GLM,0.9242715058454022,0
All,RSI,SELMAPROTBAS,0.6489216021910305,0
All,RSI,WET,0.706728299948639,0
All,T,GLM,0.6372360844529751,0
All,T,SELMAPROTBAS,0.46747689147552207,0
All,T,WET,0.19688409518917993,0
All,T+NUTR,GLM,0.883266445646484,0
All,T+NUTR,SELMAPROTBAS,0.9590893529613146,0
All,T+NUTR,WET,0.7497003937681904,0
All,T+NUTR+MINOR,GLM,0.9825510382132263,0
All,T+NUTR+MINOR,SELMAPROTBAS,0.9897295446764807,0
All,T+NUTR+MINOR,WET,0.9193631227529533,0
All,T+NUTR+MINOR+SYSTEM,GLM,0.9937183737567614,0
All,T+NUTR+MINOR+SYSTEM,SELMAPROTBAS,0.9900718931872646,0
All,T+NUTR+MINOR+SYSTEM,WET,0.9714090053073104,0
